i0,s0_idx,s0,s1,s1_label,s2,s2_label
17,48,And there is always the ultimate unbundler's <b>defence</b> — that he will make money for his backers.,And there is always the ultimate unbundler's <b>argument</b> — that he will make money for his backers.,apt,And there is always the ultimate unbundler's <b>squad</b> — that he will make money for his backers.,inapt
18,48,And there is always the ultimate unbundler's <b>defence</b> — that he will make money for his backers.,And there is always the ultimate unbundler's <b>argument</b> — that he will make money for his backers.,apt,And there is always the ultimate unbundler's <b>action</b> — that he will make money for his backers.,inapt
19,48,And there is always the ultimate unbundler's <b>defence</b> — that he will make money for his backers.,And there is always the ultimate unbundler's <b>squad</b> — that he will make money for his backers.,inapt,And there is always the ultimate unbundler's <b>action</b> — that he will make money for his backers.,inapt
20,52,"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is <b>mounting</b> the bid to enrich himself and his friends by saying: ‘Nobody could take that as a criticism — this is an investor group.","In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is <b>launching</b> the bid to enrich himself and his friends by saying: ‘Nobody could take that as a criticism — this is an investor group.",apt,"In a takeover campaign that has already seen vitriolic language, he responds to the charge that he is <b>attaching</b> the bid to enrich himself and his friends by saying: ‘Nobody could take that as a criticism — this is an investor group.",inapt
21,72,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>followed</b> by two with an employer) for the rest.,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>accompanied</b> by two with an employer) for the rest.,apt,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>traveled</b> by two with an employer) for the rest.,inapt
22,72,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>followed</b> by two with an employer) for the rest.,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>accompanied</b> by two with an employer) for the rest.,apt,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>gone</b> by two with an employer) for the rest.,inapt
23,72,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>followed</b> by two with an employer) for the rest.,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>accompanied</b> by two with an employer) for the rest.,apt,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>moved</b> by two with an employer) for the rest.,inapt
24,72,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>followed</b> by two with an employer) for the rest.,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>traveled</b> by two with an employer) for the rest.,inapt,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>gone</b> by two with an employer) for the rest.,inapt
25,72,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>followed</b> by two with an employer) for the rest.,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>traveled</b> by two with an employer) for the rest.,inapt,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>moved</b> by two with an employer) for the rest.,inapt
26,72,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>followed</b> by two with an employer) for the rest.,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>gone</b> by two with an employer) for the rest.,inapt,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>moved</b> by two with an employer) for the rest.,inapt
27,114,"Second, it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union <b>immunities</b>.","Second, it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union <b>exemptions</b>.",apt,"Second, it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union <b>resistances</b>.",inapt
28,117,"Labour law will always reflect the balance of <b>power</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.","Labour law will always reflect the balance of <b>influence</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.",apt,"Labour law will always reflect the balance of <b>might</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.",inapt
29,117,"Labour law will always reflect the balance of <b>power</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.","Labour law will always reflect the balance of <b>influence</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.",apt,"Labour law will always reflect the balance of <b>mightiness</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.",inapt
30,117,"Labour law will always reflect the balance of <b>power</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.","Labour law will always reflect the balance of <b>might</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.",inapt,"Labour law will always reflect the balance of <b>mightiness</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.",inapt
31,141,"Now, it would appear from this article, that this ideal is <b>shattered</b> and a two-tiered Europe is on the cards.","Now, it would appear from this article, that this ideal is <b>destroyed</b> and a two-tiered Europe is on the cards.",apt,"Now, it would appear from this article, that this ideal is <b>bust</b> and a two-tiered Europe is on the cards.",inapt
32,171,"Thousands of Montenegrins, many in national costume, waited at the quayside in Bar for the Italian warship that would <b>bring</b> him home.","Thousands of Montenegrins, many in national costume, waited at the quayside in Bar for the Italian warship that would <b>carry</b> him home.",apt,"Thousands of Montenegrins, many in national costume, waited at the quayside in Bar for the Italian warship that would <b>convey</b> him home.",inapt
33,175,"What was surely the last ever Montenegrin ‘royal event’ was masterminded by the republic's new Communist leadership, which has abruptly stopped describing Nicholas as a class enemy, to ride the same wave of popular patriotism and royal fervour which <b>swept</b> Serbia in the recent celebrations of the 600th anniversary of the battle of Kosovo.","What was surely the last ever Montenegrin ‘royal event’ was masterminded by the republic's new Communist leadership, which has abruptly stopped describing Nicholas as a class enemy, to ride the same wave of popular patriotism and royal fervour which <b>engulfed</b> Serbia in the recent celebrations of the 600th anniversary of the battle of Kosovo.",apt,"What was surely the last ever Montenegrin ‘royal event’ was masterminded by the republic's new Communist leadership, which has abruptly stopped describing Nicholas as a class enemy, to ride the same wave of popular patriotism and royal fervour which <b>broomed</b> Serbia in the recent celebrations of the 600th anniversary of the battle of Kosovo.",inapt
34,178,"‘If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,’ said the Montenegrin President, Branko Kostic, reading the royal <b>will</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.","‘If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,’ said the Montenegrin President, Branko Kostic, reading the royal <b>request</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.",apt,"‘If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,’ said the Montenegrin President, Branko Kostic, reading the royal <b>purpose</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.",inapt
35,178,"‘If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,’ said the Montenegrin President, Branko Kostic, reading the royal <b>will</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.","‘If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,’ said the Montenegrin President, Branko Kostic, reading the royal <b>request</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.",apt,"‘If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,’ said the Montenegrin President, Branko Kostic, reading the royal <b>intent</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.",inapt
36,178,"‘If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,’ said the Montenegrin President, Branko Kostic, reading the royal <b>will</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.","‘If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,’ said the Montenegrin President, Branko Kostic, reading the royal <b>purpose</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.",inapt,"‘If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,’ said the Montenegrin President, Branko Kostic, reading the royal <b>intent</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.",inapt
37,197,This furthered his long-term ambition to <b>rule</b> a large ‘south Slav’ kingdom when the Ottoman Empire finally collapsed.,This furthered his long-term ambition to <b>control</b> a large ‘south Slav’ kingdom when the Ottoman Empire finally collapsed.,apt,This furthered his long-term ambition to <b>draw</b> a large ‘south Slav’ kingdom when the Ottoman Empire finally collapsed.,inapt
38,200,He even persuaded 12 European <b>powers</b> to turn cottages into full embassies.,He even persuaded 12 European <b>authorities</b> to turn cottages into full embassies.,apt,He even persuaded 12 European <b>mights</b> to turn cottages into full embassies.,inapt
39,200,He even persuaded 12 European <b>powers</b> to turn cottages into full embassies.,He even persuaded 12 European <b>authorities</b> to turn cottages into full embassies.,apt,He even persuaded 12 European <b>mightinesses</b> to turn cottages into full embassies.,inapt
40,200,He even persuaded 12 European <b>powers</b> to turn cottages into full embassies.,He even persuaded 12 European <b>mights</b> to turn cottages into full embassies.,inapt,He even persuaded 12 European <b>mightinesses</b> to turn cottages into full embassies.,inapt
41,202,It was a <b>fair</b> achievement in a town which an earlier observer described as ‘44 hovels’.,It was a <b>decent</b> achievement in a town which an earlier observer described as ‘44 hovels’.,apt,It was a <b>bonny</b> achievement in a town which an earlier observer described as ‘44 hovels’.,inapt
42,202,It was a <b>fair</b> achievement in a town which an earlier observer described as ‘44 hovels’.,It was a <b>decent</b> achievement in a town which an earlier observer described as ‘44 hovels’.,apt,It was a <b>comely</b> achievement in a town which an earlier observer described as ‘44 hovels’.,inapt
43,202,It was a <b>fair</b> achievement in a town which an earlier observer described as ‘44 hovels’.,It was a <b>bonny</b> achievement in a town which an earlier observer described as ‘44 hovels’.,inapt,It was a <b>comely</b> achievement in a town which an earlier observer described as ‘44 hovels’.,inapt
44,206,"VIRGIL THOMSON was a composer and writer of originality, courage and wit formed by a unique <b>mixture</b> of American and French influences.","VIRGIL THOMSON was a composer and writer of originality, courage and wit formed by a unique <b>blend</b> of American and French influences.",apt,"VIRGIL THOMSON was a composer and writer of originality, courage and wit formed by a unique <b>concoction</b> of American and French influences.",inapt
45,210,"His Missouri childhood gave him access to Baptist hymns and church music, but at Harvard he was <b>introduced</b> to the writings of Gertrude Stein and the music of Erik Satie.","His Missouri childhood gave him access to Baptist hymns and church music, but at Harvard he was <b>exposed</b> to the writings of Gertrude Stein and the music of Erik Satie.",apt,"His Missouri childhood gave him access to Baptist hymns and church music, but at Harvard he was <b>presented</b> to the writings of Gertrude Stein and the music of Erik Satie.",inapt
46,214,These influences laid the foundations for the blend of the naive and the sophisticated which is the <b>hallmark</b> of Thomson's maturity.,These influences laid the foundations for the blend of the naive and the sophisticated which is the <b>trademark</b> of Thomson's maturity.,apt,These influences laid the foundations for the blend of the naive and the sophisticated which is the <b>authentication</b> of Thomson's maturity.,inapt
47,223,"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which demonstrated a new kind of plotless opera only now <b>reaching</b> a wider currency through the stage works of Philip Glass.","First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which demonstrated a new kind of plotless opera only now <b>attaining</b> a wider currency through the stage works of Philip Glass.",apt,"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which demonstrated a new kind of plotless opera only now <b>touching</b> a wider currency through the stage works of Philip Glass.",inapt
48,235,He said: ‘I had wondered whether a piece so drenched in Anglican chant (running from Gilbert and Sullivan to Morning Prayer and back) could <b>rise</b> and sail.’,He said: ‘I had wondered whether a piece so drenched in Anglican chant (running from Gilbert and Sullivan to Morning Prayer and back) could <b>surface</b> and sail.’,apt,He said: ‘I had wondered whether a piece so drenched in Anglican chant (running from Gilbert and Sullivan to Morning Prayer and back) could <b>lift</b> and sail.’,inapt
49,237,"But the resulting <b>mixture</b> of hymns, folksy tunes and recitatives — at times of intoxicating banality — was a sensation.","But the resulting <b>combination</b> of hymns, folksy tunes and recitatives — at times of intoxicating banality — was a sensation.",apt,"But the resulting <b>concoction</b> of hymns, folksy tunes and recitatives — at times of intoxicating banality — was a sensation.",inapt
50,243,"The opera, like Gershwin's Porgy and Bess the following year, used an all-Black cast and the staging and choreography gave it a British <b>connection</b> since it was by Frederick Ashton.","The opera, like Gershwin's Porgy and Bess the following year, used an all-Black cast and the staging and choreography gave it a British <b>association</b> since it was by Frederick Ashton.",apt,"The opera, like Gershwin's Porgy and Bess the following year, used an all-Black cast and the staging and choreography gave it a British <b>link</b> since it was by Frederick Ashton.",inapt
51,256,"Just as Thomson <b>transferred</b> Stein's literary abstraction to music, so these portraits unusually employ the painter's technique of drawing the sitter from life: an ideal combination of Thomson's habit of immediate response with an actual subject.","Just as Thomson <b>transposed</b> Stein's literary abstraction to music, so these portraits unusually employ the painter's technique of drawing the sitter from life: an ideal combination of Thomson's habit of immediate response with an actual subject.",apt,"Just as Thomson <b>moved</b> Stein's literary abstraction to music, so these portraits unusually employ the painter's technique of drawing the sitter from life: an ideal combination of Thomson's habit of immediate response with an actual subject.",inapt
52,269,"He always <b>felt</b> that effective musical criticism began by being well written, and he never lost his liveliness.","He always <b>believed</b> that effective musical criticism began by being well written, and he never lost his liveliness.",apt,"He always <b>experienced</b> that effective musical criticism began by being well written, and he never lost his liveliness.",inapt
53,269,"He always <b>felt</b> that effective musical criticism began by being well written, and he never lost his liveliness.","He always <b>believed</b> that effective musical criticism began by being well written, and he never lost his liveliness.",apt,"He always <b>sensed</b> that effective musical criticism began by being well written, and he never lost his liveliness.",inapt
54,269,"He always <b>felt</b> that effective musical criticism began by being well written, and he never lost his liveliness.","He always <b>experienced</b> that effective musical criticism began by being well written, and he never lost his liveliness.",inapt,"He always <b>sensed</b> that effective musical criticism began by being well written, and he never lost his liveliness.",inapt
55,274,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his <b>notices</b> have appeared in book form.,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his <b>pieces</b> have appeared in book form.,apt,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his <b>observations</b> have appeared in book form.,inapt
56,274,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his <b>notices</b> have appeared in book form.,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his <b>pieces</b> have appeared in book form.,apt,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his <b>observances</b> have appeared in book form.,inapt
57,274,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his <b>notices</b> have appeared in book form.,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his <b>observations</b> have appeared in book form.,inapt,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his <b>observances</b> have appeared in book form.,inapt
58,276,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>form</b>.,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>format</b>.,apt,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>shape</b>.,inapt
59,276,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>form</b>.,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>format</b>.,apt,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>configuration</b>.,inapt
60,276,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>form</b>.,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>format</b>.,apt,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>contour</b>.,inapt
61,276,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>form</b>.,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>shape</b>.,inapt,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>configuration</b>.,inapt
62,276,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>form</b>.,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>shape</b>.,inapt,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>contour</b>.,inapt
63,276,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>form</b>.,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>configuration</b>.,inapt,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>contour</b>.,inapt
64,289,"He made no secret of his Francophile enthusiasms, in reaction to the earlier domination of American music by Germans, and he was one of the first writers to <b>register</b> the importance of jazz.","He made no secret of his Francophile enthusiasms, in reaction to the earlier domination of American music by Germans, and he was one of the first writers to <b>note</b> the importance of jazz.",apt,"He made no secret of his Francophile enthusiasms, in reaction to the earlier domination of American music by Germans, and he was one of the first writers to <b>file</b> the importance of jazz.",inapt
65,345,He sat on the appropriate <b>boards</b> of the International Olympic Committee and was President of the General Assembly of International Sports Federations for 17 years.,He sat on the appropriate <b>panels</b> of the International Olympic Committee and was President of the General Assembly of International Sports Federations for 17 years.,apt,He sat on the appropriate <b>planks</b> of the International Olympic Committee and was President of the General Assembly of International Sports Federations for 17 years.,inapt
66,357,"Keller was made a Steward of Henley Royal Regatta in 1976, a time when the proliferation of new six-lane, still-water <b>courses</b> around the world, which had emerged under his guidance, seemed a threat to the regatta founded in 1829.","Keller was made a Steward of Henley Royal Regatta in 1976, a time when the proliferation of new six-lane, still-water <b>conduits</b> around the world, which had emerged under his guidance, seemed a threat to the regatta founded in 1829.",apt,"Keller was made a Steward of Henley Royal Regatta in 1976, a time when the proliferation of new six-lane, still-water <b>paths</b> around the world, which had emerged under his guidance, seemed a threat to the regatta founded in 1829.",inapt
67,403,The only department which explicitly <b>escapes</b> unscathed is the one which Conservatives would most like to abolish: the Department of Energy.,The only department which explicitly <b>leaves</b> unscathed is the one which Conservatives would most like to abolish: the Department of Energy.,apt,The only department which explicitly <b>flees</b> unscathed is the one which Conservatives would most like to abolish: the Department of Energy.,inapt
68,403,The only department which explicitly <b>escapes</b> unscathed is the one which Conservatives would most like to abolish: the Department of Energy.,The only department which explicitly <b>leaves</b> unscathed is the one which Conservatives would most like to abolish: the Department of Energy.,apt,The only department which explicitly <b>flies</b> unscathed is the one which Conservatives would most like to abolish: the Department of Energy.,inapt
69,403,The only department which explicitly <b>escapes</b> unscathed is the one which Conservatives would most like to abolish: the Department of Energy.,The only department which explicitly <b>flees</b> unscathed is the one which Conservatives would most like to abolish: the Department of Energy.,inapt,The only department which explicitly <b>flies</b> unscathed is the one which Conservatives would most like to abolish: the Department of Energy.,inapt
70,406,"In virtually every case the aim of causing upheaval is explicitly declared, because Labour's aim would be to <b>upset</b> the bureaucratic order it inherits.","In virtually every case the aim of causing upheaval is explicitly declared, because Labour's aim would be to <b>disrupt</b> the bureaucratic order it inherits.",apt,"In virtually every case the aim of causing upheaval is explicitly declared, because Labour's aim would be to <b>overturn</b> the bureaucratic order it inherits.",inapt
72,428,Labour policy has long sought to <b>challenge</b> the Treasury's dominance in government.,Labour policy has long sought to <b>confront</b> the Treasury's dominance in government.,apt,Labour policy has long sought to <b>invite</b> the Treasury's dominance in government.,inapt
73,452,"While new departments are born and others extended, one of the oldest — the Home Office — would become a <b>shadow</b> of its present self.","While new departments are born and others extended, one of the oldest — the Home Office — would become a <b>remnant</b> of its present self.",apt,"While new departments are born and others extended, one of the oldest — the Home Office — would become a <b>shade</b> of its present self.",inapt
74,490,AN IMPASSIONED appeal for Labour to back electoral reform was made by a leading Shadow Cabinet member yesterday after the national executive decided overwhelmingly to <b>oppose</b> a proportional representation motion.,AN IMPASSIONED appeal for Labour to back electoral reform was made by a leading Shadow Cabinet member yesterday after the national executive decided overwhelmingly to <b>deny</b> a proportional representation motion.,apt,AN IMPASSIONED appeal for Labour to back electoral reform was made by a leading Shadow Cabinet member yesterday after the national executive decided overwhelmingly to <b>counterbalance</b> a proportional representation motion.,inapt
75,493,"Robin Cook, a member of the national executive and the health spokesman, said that a Labour government which sought to <b>force</b> its programme on an unwilling nation would be unsocialist.","Robin Cook, a member of the national executive and the health spokesman, said that a Labour government which sought to <b>instill</b> its programme on an unwilling nation would be unsocialist.",apt,"Robin Cook, a member of the national executive and the health spokesman, said that a Labour government which sought to <b>push</b> its programme on an unwilling nation would be unsocialist.",inapt
76,496,"It would also be necessary ‘to smash the <b>decrepit</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.","It would also be necessary ‘to smash the <b>dilapidated</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.",apt,"It would also be necessary ‘to smash the <b>creaky</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.",inapt
77,496,"It would also be necessary ‘to smash the <b>decrepit</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.","It would also be necessary ‘to smash the <b>dilapidated</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.",apt,"It would also be necessary ‘to smash the <b>flea-bitten</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.",inapt
78,496,"It would also be necessary ‘to smash the <b>decrepit</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.","It would also be necessary ‘to smash the <b>dilapidated</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.",apt,"It would also be necessary ‘to smash the <b>run-down</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.",inapt
79,496,"It would also be necessary ‘to smash the <b>decrepit</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.","It would also be necessary ‘to smash the <b>creaky</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.",inapt,"It would also be necessary ‘to smash the <b>flea-bitten</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.",inapt
