i0,idx,s0,novelty,sid,genre,human_ans
20,55,"Sir: I was interested by your juxtaposition of ‘Poll predicts 42-seat majority for Labour’ with ‘Tories <b>hold</b> on’ (30 September), the latter referring, of course, to the Conservative victory in Wandsworth, the significance of which appears to have been almost totally ignored by the media.",-0.206,a1f-fragment06-144,NEWS,cling grasp remain
21,57,"Electors are always <b>prepared</b> to criticise the Government in answer to pollsters' questions, but when the same individuals arrive at the polling booth they simply can not bring themselves to vote Labour into power.",0.062,a1f-fragment06-145,NEWS,ready quick willing
22,72,Labour hopes to transform the situation by increasing the number of A-levels to five for the brighter youngsters and providing grants for four-year training courses (two years in a Further Education college <b>followed</b> by two with an employer) for the rest.,0.088,a1f-fragment07-152,NEWS,precluded noword accompanied
23,73,These reforms will only <b>achieve</b> their objective if accompanied by the implementation of the 1944 Education Act provision for compulsory part- or full-time education or training up to the age of 18.,0.143,a1f-fragment07-153,NEWS,reach attain meet
24,77,The sharply reduced number of 16-18-year-olds will inevitably lead employers to bid up the wages of that age <b>group</b> to entice young people away from education and into unskilled or semi-skilled jobs.,0.0,a1f-fragment07-155,NEWS,cohort bracket demographic category
25,87,"Only then will two vitally important and complementary goals be achieved: to improve Britain's general educational and vocational competence, and hence our productive capacity; and to reduce our gross educational inequalities between the elite who receive a <b>narrow</b> education to a very high standard, and the rest.",0.171,a1f-fragment07-157,NEWS,limited better
26,90,Sir: Labour does not <b>need</b> a commitment to proportional representation in order to scoop most of the centre ground at the next general election.,-0.242,a1f-fragment08-160,NEWS,require
27,96,"Sir: If Labour is to suggest the <b>setting</b> up of a specialist labour court (30 September), then such a momentous change in the industrial relations system deserves more discussion, and needs to be taken out of the hot-house of Labour Party conference politics.",-0.029,a1f-fragment09-166,NEWS,making creating building
28,101,"Sir: If Labour is to suggest the setting up of a specialist labour court (30 September), then such a momentous change in the industrial relations system deserves more discussion, and needs to be taken out of the <b>hot-house</b> of Labour Party conference politics.",0.656,a1f-fragment09-166,NEWS,web debate hotbed forefront
29,114,"Second, it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union <b>immunities</b>.",0.438,a1f-fragment09-169,NEWS,protection exemptions protections resistance
30,117,"Labour law will always reflect the balance of <b>power</b> in society, and a fully fledged labour court system will not remove class and fundamental employer-employee differences.",-0.125,a1f-fragment09-170,NEWS,influence strength dominance
31,121,"Labour law will always reflect the balance of power in society, and a fully fledged labour court system will not <b>remove</b> class and fundamental employer-employee differences.",-0.147,a1f-fragment09-170,NEWS,abolish eliminate
32,125,"Third, a labour division of the High Court would contribute to the process of <b>constitutional</b> reform in Britain which surely is to be a key political issue in the 1990s.",0.294,a1f-fragment09-172,NEWS,structural societal judicial
33,127,The ‘trade union question’ would cease to haunt the Labour Party and while that might <b>upset</b> some Conservatives it would be good for the country.,-0.03,a1f-fragment09-173,NEWS,dismay worry unsettle irritate trouble
34,136,How much ‘independence’ do you suppose a person has who exists on the no-<b>fixed-</b>abode Giro of £34.90 a week?,0.233,a1f-fragment10-181,NEWS,permanent set fixed
35,141,"Now, it would appear from this article, that this ideal is <b>shattered</b> and a two-tiered Europe is on the cards.",0.394,a1f-fragment11-186,NEWS,destroyed decimated dead wrecked
36,142,"Now, it would appear from this article, that this ideal is shattered and a two<b>-tiered</b> Europe is on the cards.",0.412,a1f-fragment11-186,NEWS,level layered leveled
37,151,"Cardinal Hume has not only the cross of being a fervent Newcastle United supporter to bear; he is also known to irreverent <b>members</b> of Mayfair's Jesuit Farm Street Church by his initials, George Basil Hume.",-0.242,a1f-fragment12-198,NEWS,people fellows associates attendees
38,152,"DOZENS more East German refugees arrived outside the West German embassy yesterday seeking asylum and passage to the West, including some who <b>missed</b> by only a few minutes a train that took more than 800 of their compatriots to West Germany.",0.0,a1g-fragment26-389,NEWS,trailed undershot
39,167,"According to unofficial reports, the <b>arrangement</b> was designed by the West German Foreign Minister, Hans Dietrich Genscher, the new Polish foreign minister, Krzystof Skubiszewski, and the Soviet Foreign Minister, Eduard Shevardnadze, who met recently at the United Nations in New York.",0.121,a1g-fragment26-404,NEWS,situation agreement settlement plan
40,171,"Thousands of Montenegrins, many in national costume, waited at the quayside in Bar for the Italian warship that would <b>bring</b> him home.",-0.265,a1g-fragment27-408,NEWS,transport carry take escort
41,175,"What was surely the last ever Montenegrin ‘royal event’ was masterminded by the republic's new Communist leadership, which has abruptly stopped describing Nicholas as a class enemy, to ride the same wave of popular patriotism and royal fervour which <b>swept</b> Serbia in the recent celebrations of the 600th anniversary of the battle of Kosovo.",0.242,a1g-fragment27-410,NEWS,typified overwhelmed drove engulfed swooped
42,178,"‘If I die abroad in exile, let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland,’ said the Montenegrin President, Branko Kostic, reading the royal <b>will</b> and testament to the crowds in Cetinje Square, who carried flags and portraits of Nicholas and his queen, Milena.",0.206,a1g-fragment27-412,NEWS,request details requests legacy
43,183,"‘Our tourist organisations are counting on big profits,’ said Srdan Darmanovic, a <b>member</b> of the Montenegrin Central Committee.",-0.091,a1g-fragment27-414,NEWS,representative person associate
44,184,"Montenegro's <b>young</b> and go-ahead leadership, which came to power this year amid furious popular dissatisfaction with the ‘old men in grey suits’, sponsored the gathering of Nicholas's surviving relatives — the first ‘royal reunion’ organised by a Communist government.",0.029,a1g-fragment27-416,NEWS,youthful juvenile
45,194,"For a man whom Rebecca West, a contemporary Balkan observer, called ‘<b>repulsive</b>’ and ‘treacherous’ for deserting his Serbian son-in-law, King Alexander, in the First World War, it is a sepia-tinted view of history.",0.441,a1g-fragment27-421,NEWS,revolting disgusting awful grotesque
46,197,This furthered his long-term ambition to <b>rule</b> a large ‘south Slav’ kingdom when the Ottoman Empire finally collapsed.,0.118,a1g-fragment27-423,NEWS,oversee lead command control govern
47,198,This furthered his long-term ambition to rule a large ‘south Slav’ kingdom when the Ottoman Empire finally <b>collapsed</b>.,0.355,a1g-fragment27-423,NEWS,fell disintegrated descended ended crashed
48,200,He even persuaded 12 European <b>powers</b> to turn cottages into full embassies.,0.235,a1g-fragment27-426,NEWS,bosses forces authorities countries executives
49,202,It was a <b>fair</b> achievement in a town which an earlier observer described as ‘44 hovels’.,0.118,a1g-fragment27-427,NEWS,decent just equal good nice
50,206,"VIRGIL THOMSON was a composer and writer of originality, courage and wit formed by a unique <b>mixture</b> of American and French influences.",0.086,a1h-fragment05-71,NEWS,blend combination
51,210,"His Missouri childhood gave him access to Baptist hymns and church music, but at Harvard he was <b>introduced</b> to the writings of Gertrude Stein and the music of Erik Satie.",-0.139,a1h-fragment05-73,NEWS,acquainted exposed presented conceived
52,214,These influences laid the foundations for the blend of the naive and the sophisticated which is the <b>hallmark</b> of Thomson's maturity.,0.5,a1h-fragment05-74,NEWS,trademark definition essence
53,216,"Like many young American composers he studied with Nadia Boulanger, but after 1925 <b>set</b> out to achieve the ‘discipline of spontaneity’ which he found in Stein's writings.",-0.125,a1h-fragment05-75,NEWS,went branched
54,221,"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which <b>demonstrated</b> a new kind of plotless opera only now reaching a wider currency through the stage works of Philip Glass.",0.118,a1h-fragment05-77,NEWS,showcased showed displayed
55,223,"First came Four Saints in Three Acts, produced in 1934, and then The Mother of Us All (1947), which demonstrated a new kind of plotless opera only now <b>reaching</b> a wider currency through the stage works of Philip Glass.",-0.2,a1h-fragment05-77,NEWS,achieving finding attaining extending gaining
56,231,He said: ‘I had wondered whether a <b>piece</b> so drenched in Anglican chant (running from Gilbert and Sullivan to Morning Prayer and back) could rise and sail.’,0.029,a1h-fragment05-79,NEWS,part work thing object item
57,235,He said: ‘I had wondered whether a piece so drenched in Anglican chant (running from Gilbert and Sullivan to Morning Prayer and back) could <b>rise</b> and sail.’,-0.091,a1h-fragment05-79,NEWS,ascend surface soar arise ascent
58,237,"But the resulting <b>mixture</b> of hymns, folksy tunes and recitatives — at times of intoxicating banality — was a sensation.",0.242,a1h-fragment05-80,NEWS,combination collection
59,243,"The opera, like Gershwin's Porgy and Bess the following year, used an all-Black cast and the staging and choreography gave it a British <b>connection</b> since it was by Frederick Ashton.",0.216,a1h-fragment05-81,NEWS,link root association
60,246,"In 1936, three years before Aaron Copland, Thomson started writing film scores which were a <b>model</b> of unobtrusive clarity and pertinence, combining American materials to suit documentaries such as The Plow that Broke the Plains and The River with the musique d'ameublement approach of Satie.",-0.059,a1h-fragment05-83,NEWS,prototype standard epitome example blueprint
61,256,"Just as Thomson <b>transferred</b> Stein's literary abstraction to music, so these portraits unusually employ the painter's technique of drawing the sitter from life: an ideal combination of Thomson's habit of immediate response with an actual subject.",0.2,a1h-fragment05-87,NEWS,transposed transmitted reassign
62,259,"Just as Thomson transferred Stein's literary abstraction to music, so these portraits unusually employ the <b>painter</b>'s technique of drawing the sitter from life: an ideal combination of Thomson's habit of immediate response with an actual subject.",-0.182,a1h-fragment05-87,NEWS,artist artists
63,261,"Just as Thomson transferred Stein's literary abstraction to music, so these portraits unusually employ the painter's technique of <b>drawing</b> the sitter from life: an ideal combination of Thomson's habit of immediate response with an actual subject.",-0.061,a1h-fragment05-87,NEWS,sketching portraying illustration
64,269,"He always <b>felt</b> that effective musical criticism began by being well written, and he never lost his liveliness.",-0.206,a1h-fragment05-90,NEWS,believed thought found
65,273,"He started by writing occasional articles but in 1939 he wrote The State of Music, a trenchant and provocative assessment of the <b>machinery</b> of the musical profession at the time.",0.471,a1h-fragment05-92,NEWS,machinations apparatus workings
66,274,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his <b>notices</b> have appeared in book form.,0.088,a1h-fragment05-93,NEWS,work announcements words pieces observances
67,276,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book <b>form</b>.,-0.212,a1h-fragment05-93,NEWS,format
68,278,"He wrote a fulsome 400-page autobiography, characteristically entitled Virgil Thomson on Virgil Thomson, and a personal survey, American Music since 1910, appeared in 1972, <b>followed</b> recently by a selected edition of his letters.",-0.273,a1h-fragment05-94,NEWS,succeeded ensued tracked
69,279,As both composer and critic he <b>touched</b> both sides of the coin: A climate of receptivity is what the artist most desires.,0.333,a1h-fragment05-95,NEWS,affected showed felt tapped
70,280,As both composer and critic he touched both <b>sides</b> of the coin: A climate of receptivity is what the artist most desires.,0.147,a1h-fragment05-95,NEWS,faces edges surfaces
71,286,Above all he restored the <b>focus</b> of music criticism onto the music itself.,-0.118,a1h-fragment05-98,NEWS,concentration vision attention aim
72,289,"He made no secret of his Francophile enthusiasms, in reaction to the earlier domination of American music by Germans, and he was one of the first writers to <b>register</b> the importance of jazz.",0.265,a1h-fragment05-99,NEWS,note record acknowledge
73,299,Thomson's songs <b>contain</b> some of his finest work.,0.182,a1h-fragment05-105,NEWS,include hold involve
74,309,"From there, like a buzzard in its eyrie, he would make forays round the US and abroad in spite of his <b>advanced</b> age.",0.167,a1h-fragment05-109,NEWS,old late higher developed
75,310,"He seemed a genial and indestructible <b>landmark</b> in the history of American music, in spite of defective hearing which had bothered him since the late Seventies.",0.528,a1h-fragment05-110,NEWS,icon pillar milestone fixture beacon
76,319,"He was President of FISA (Federation Internationale des Societes d'Aviron), the world governing <b>body</b>, for 30 years; and most of this body's attitudes and practices reflect the force of his strict, but genial personality.",-0.03,a1h-fragment06-117,NEWS,organisation committee corporation authority
77,324,"He was President of FISA (Federation Internationale des Societes d'Aviron), the world governing body, for 30 years; and most of this body's attitudes and practices reflect the <b>force</b> of his strict, but genial personality.",0.029,a1h-fragment06-117,NEWS,strength might power
78,337,FISA was then a relatively unimportant <b>body</b> which organised European and other championships and participated in the running of Olympic regattas.,-0.242,a1h-fragment06-126,NEWS,organization organisation department committee
79,345,He sat on the appropriate <b>boards</b> of the International Olympic Committee and was President of the General Assembly of International Sports Federations for 17 years.,0.059,a1h-fragment06-129,NEWS,offices panels stands commissions
80,350,These positions were not held for his own status but to promote the cause of rowing where it <b>needed</b> clout.,-0.094,a1h-fragment06-130,NEWS,required demanded
81,352,"He successfully defended rowing as an Olympic sport and in 1976 <b>introduced</b> women's events, which have now expanded to six classes.",0.118,a1h-fragment06-131,NEWS,started launched presented established
82,355,"Keller was <b>made</b> a Steward of Henley Royal Regatta in 1976, a time when the proliferation of new six-lane, still-water courses around the world, which had emerged under his guidance, seemed a threat to the regatta founded in 1829.",-0.194,a1h-fragment06-133,NEWS,appointed employed bestowed
83,357,"Keller was made a Steward of Henley Royal Regatta in 1976, a time when the proliferation of new six-lane, still-water <b>courses</b> around the world, which had emerged under his guidance, seemed a threat to the regatta founded in 1829.",0.206,a1h-fragment06-133,NEWS,channels conduits flows developments
84,379,"In spite of his gift to the sport, Keller was anxious not to <b>abuse</b> his status as President and never went to a rowing event unless invited.",0.091,a1h-fragment06-139,NEWS,misuse exploit
85,393,The Labour Party Conference: Policy review throws a spanner in the Whitehall <b>machinery</b>,0.281,a1j-fragment33-494,NEWS,system set-up functioning workings
86,395,AN INCOMING Labour government would <b>turn</b> large areas of Whitehall upside down — but the party's policy review barely considers the implications of its plans for restructuring government departments.,-0.182,a1j-fragment33-496,NEWS,spin veer rotate
87,403,The only department which explicitly <b>escapes</b> unscathed is the one which Conservatives would most like to abolish: the Department of Energy.,0.303,a1j-fragment33-499,NEWS,evades eludes emerges leaves breakout
88,404,"In virtually every case the <b>aim</b> of causing upheaval is explicitly declared, because Labour's aim would be to upset the bureaucratic order it inherits.",0.057,a1j-fragment33-500,NEWS,objective target outcome
89,406,"In virtually every case the aim of causing upheaval is explicitly declared, because Labour's aim would be to <b>upset</b> the bureaucratic order it inherits.",-0.111,a1j-fragment33-500,NEWS,disrupt change unsettle
90,412,"New departments and quangos would, according to the review, be designed to act as irritants and antagonists within the Civil Service <b>system</b>.",0.161,a1j-fragment33-501,NEWS,structure setup organisation
91,417,Nor does it contemplate the knock-on consequences for Labour ministers of attempting to implement their programme while <b>rebuilding</b> the governmental machine.,-0.031,a1j-fragment33-503,NEWS,fixing rebooting improving restoring reconstruct
92,425,That approach would seek to <b>knock</b> out a keystone of Civil Service tradition.,0.235,a1j-fragment33-506,NEWS,push remove overthrow drill
93,427,Labour policy has long <b>sought</b> to challenge the Treasury's dominance in government.,0.152,a1j-fragment33-507,NEWS,tried aspired requested striven
94,428,Labour policy has long sought to <b>challenge</b> the Treasury's dominance in government.,0.206,a1j-fragment33-507,NEWS,question confront oppose test
95,432,"There would in addition be a minister for Science and Technology at the newly supreme DTI, with responsibility for <b>determing</b> investment in research.",0.0,a1j-fragment33-509,NEWS,deciding allocating budgeting assessing
96,436,"But while the DTI would override the Treasury, a new ‘powerful Department of Consumer Affairs’ would <b>antagonise</b> the DTI.",0.543,a1j-fragment33-511,NEWS,annoy alienate anger irritate poke
97,447,"It would be <b>able</b> to ‘require each government department to review its policies, practices, and existing and proposed legislation’.",-0.25,a1j-fragment33-515,NEWS,possible permissible
98,448,"It would be able to ‘<b>require</b> each government department to review its policies, practices, and existing and proposed legislation’.",0.0,a1j-fragment33-515,NEWS,mandate need force instruct demand
99,450,"While new departments are born and others <b>extended</b>, one of the oldest — the Home Office — would become a shadow of its present self.",0.2,a1j-fragment33-516,NEWS,lengthened prolonged expanded enlarged
100,451,"While new departments are born and others extended, one of the <b>oldest</b> — the Home Office — would become a shadow of its present self.",-0.147,a1j-fragment33-516,NEWS,eldest first earliest
101,452,"While new departments are born and others extended, one of the oldest — the Home Office — would become a <b>shadow</b> of its present self.",0.161,a1j-fragment33-516,NEWS,remnant alternative ghost shade
102,455,"Labour's proposed Department for Legal Administration would <b>take</b> over responsibility for courts and tribunals; court procedures; organisation, training and appointment of the legal profession, magistracy and judiciary; legal aid; legal services; and the Sentencing Council.",-0.273,a1j-fragment33-517,NEWS,preside haul
103,460,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet <b>proper</b> — crops up again on environment.,0.242,a1j-fragment33-520,NEWS,true technically realistically itself essentially official
104,462,That could <b>work</b> — though it is easy to imagine conflicts of interest with the housing and planning functions of the department.,-0.176,a1j-fragment33-522,NEWS,suffice run do win succeed
105,467,"‘Its main <b>concerns</b> would become food and the people who consume it, not farming and those who produce it.’",-0.25,a1j-fragment33-525,NEWS,worries targets interests issues
106,474,"In some cases Labour's quangos merge existing ones, or <b>replace</b> well-established bodies.",-0.147,a1j-fragment33-528,NEWS,change substitute swap succeed
107,479,"But there would be new regulatory commissions and consumer councils for every utility, along with ombudsmen, and public <b>interest</b> commissioners appointed by the Secretary of State.",0.229,a1j-fragment33-531,NEWS,concern welfare tax
108,484,AN IMPASSIONED appeal for Labour to <b>back</b> electoral reform was made by a leading Shadow Cabinet member yesterday after the national executive decided overwhelmingly to oppose a proportional representation motion.,0.086,a1j-fragment34-535,NEWS,support
109,488,AN IMPASSIONED appeal for Labour to back electoral reform was made by a leading Shadow Cabinet <b>member</b> yesterday after the national executive decided overwhelmingly to oppose a proportional representation motion.,-0.088,a1j-fragment34-535,NEWS,representative constituent person MP
110,490,AN IMPASSIONED appeal for Labour to back electoral reform was made by a leading Shadow Cabinet member yesterday after the national executive decided overwhelmingly to <b>oppose</b> a proportional representation motion.,0.114,a1j-fragment34-535,NEWS,deny dispute refuse challenge reject
111,491,"Robin Cook, a <b>member</b> of the national executive and the health spokesman, said that a Labour government which sought to force its programme on an unwilling nation would be unsocialist.",0.061,a1j-fragment34-536,NEWS,person associate confederate representative officer
112,493,"Robin Cook, a member of the national executive and the health spokesman, said that a Labour government which sought to <b>force</b> its programme on an unwilling nation would be unsocialist.",0.0,a1j-fragment34-536,NEWS,coerce push enforce instill compel
113,496,"It would also be necessary ‘to smash the <b>decrepit</b>, effete constitution that allows a minority to capture power, and then use it ruthlessly in the interests of the privileged few’.",0.281,a1j-fragment34-538,NEWS,crumbling weak dilapidated elderly broken-down
114,505,"Mr Cook argued that 10 years of Thatcherism had been forced on most people, who had never voted Conservative, and that many of those who opposed PR in the Labour Party wanted to use the same undemocratic <b>power</b> ‘to ram socialism down the throats of a majority who didn't vote for it’.",0.129,a1j-fragment34-539,NEWS,authority force tyranny
115,507,"Mr Cook argued that 10 years of Thatcherism had been forced on most people, who had never voted Conservative, and that many of those who opposed PR in the Labour Party wanted to use the same undemocratic power ‘to ram socialism down the <b>throats</b> of a majority who didn't vote for it’.",0.679,a1j-fragment34-539,NEWS,gullets necks gullet
116,514,"Labour would be acquiescing in a ‘democratic outrage’ if it continued <b>arguing</b> that, because the Conservatives had got away with being undemocratic for so long, it was now Labour's turn.",-0.029,a1j-fragment34-542,NEWS,debating asserting proclaiming promoting contending
117,516,"Labour would be acquiescing in a ‘democratic outrage’ if it continued arguing that, because the Conservatives had got away with being undemocratic for so <b>long</b>, it was now Labour's turn.",-0.118,a1j-fragment34-542,NEWS,late
118,517,"Labour would be acquiescing in a ‘democratic outrage’ if it continued arguing that, because the Conservatives had got away with being undemocratic for so long, it was now Labour's <b>turn</b>.",-0.219,a1j-fragment34-542,NEWS,opportunity go chance
119,524,"It seemed strange to make that argument, Mr Cook said, when it was <b>clear</b> the whole policy review process was designed to placate the centre ground.",-0.062,a1j-fragment34-544,NEWS,obvious understandable apparent
120,526,"It seemed strange to make that argument, Mr Cook said, when it was clear the whole policy review process was <b>designed</b> to placate the centre ground.",-0.242,a1j-fragment34-544,NEWS,intended formulated created made
121,530,‘I can not honestly see that a <b>system</b> which would require us to compromise the morning after the election is really so morally inferior to a system which has already obliged us to compromise our policies two years before polling day.’,0.0,a1j-fragment34-545,NEWS,network arrangement democracy institution
122,531,‘I can not honestly see that a system which would require us to compromise the morning after the election is really so morally <b>inferior</b> to a system which has already obliged us to compromise our policies two years before polling day.’,0.032,a1j-fragment34-545,NEWS,unpreferred subordinate subsidiary lesser
123,532,‘I can not honestly see that a system which would require us to compromise the morning after the election is really so morally inferior to a <b>system</b> which has already obliged us to compromise our policies two years before polling day.’,-0.029,a1j-fragment34-545,NEWS,process way setup institution
124,546,The only way to <b>remove</b> the Government was for Labour to win the next general election.,0.032,a1j-fragment34-552,NEWS,eliminate disconnect depose
125,556,"Party organisers want the conference to show that the party is united as never before, leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about <b>splits</b>.",0.343,a1j-fragment34-554,NEWS,divisions sharing conflicts division
126,558,The executive is <b>recommending</b> rejection of a motion calling for unilateral disarmament.,0.029,a1j-fragment34-556,NEWS,suggesting advocates proposing
127,560,"It is also <b>urging</b> the conference to oppose a motion, supported by the National Union of Mineworkers, to commit a Labour government to abolishing all nuclear power within 15 years.",0.206,a1j-fragment34-557,NEWS,encouraging persuading pushing recommended
128,562,"It is also urging the conference to oppose a motion, <b>supported</b> by the National Union of Mineworkers, to commit a Labour government to abolishing all nuclear power within 15 years.",0.03,a1j-fragment34-557,NEWS,backed encouraged preferred
129,570,GENERAL TIPS A general <b>rule</b> for pub rock patrons is that the quality of music will be in inverse proportion to the quality of the beer (except at Finsbury Park's Sir George Robey where an excellent music policy comes complete with a decent pint of Guinness).,-0.182,a1k-fragment02-30,NEWS,guideline suggestion tip requirement
130,582,"If it's a <b>comfortable</b> evening's entertainment you're after, stay at home with the video.",-0.029,a1k-fragment02-34,NEWS,pleasant welcoming satisfying lazy cosy
131,583,"If it's a comfortable evening's entertainment you're <b>after</b>, stay at home with the video.",0.0,a1k-fragment02-34,NEWS,seeking choosing wanting
132,588,"WHO TO WATCH While the best that chart music can manage in the way of band names is Black Box, the pub circuit has always been ripe with imaginative <b>handles</b>.",0.455,a1k-fragment02-36,NEWS,names phrases designs grasps titles
133,589,"Cheerfully <b>bending</b> ears this week somewhere in London are Bald Howlin' Bastard, Daisy Chainsaw, The Wandering Crutchless, Benny Profane, The Gordon Jackson Five and New Fast Automatic Daffodils.",0.156,a1k-fragment02-37,NEWS,attacking sounding bowing
134,593,"PLAYING THIS WEEK TONIGHT Bop Brothers Blues Band The plethora of litigation surrounding Blues Brothers lookalikes almost matches that attached to the <b>release</b> of Wired, the unofficial biography of the original brother, John Belushi.",0.176,a1k-fragment02-39,NEWS,launch make
135,595,"Suffice to say, whether Boogie, Bop or simply Blues, this set of Brothers, whatever they once were before they fell out and dispatched solicitors to sue their siblings, will be wearing <b>dark</b> glasses, pork pie hats, black side-burns and will be playing Stax/Atlantic type material.",-0.029,a1k-fragment02-40,NEWS,shaded tinted dim darkened
136,601,"Well Loaded Much talked-about guitar rockers, generally <b>regarded</b> as destined for the bigger stadia of life, unless they self-destruct en route.",0.0,a1k-fragment02-47,NEWS,viewed predicted
137,605,"Well Loaded Much talked-about guitar rockers, generally regarded as destined for the bigger stadia of life, unless they <b>self-destruct</b> en route.",0.343,a1k-fragment02-47,NEWS,combust decompose self-destroy self-harmed self-sabotage
138,606,<b>Catch</b> them young.,0.176,a1k-fragment02-48,NEWS,Trap Involve Seize Start
139,607,"Johnny Mars Blues Band Unrepentant Smiths fans need not <b>beat</b> a path to the door, this is nothing to do with Johnny Marr.",-0.188,a1k-fragment02-52,NEWS,lay strike trounce line forge
140,610,Primal Scream Not a name which would lead you to expect self<b>-absorbed</b> acoustic doodlings.,0.176,a1k-fragment02-54,NEWS,centered ego held
141,622,"Now he steps out on beer-stained carpets and decaying floor-boards, but the conviction <b>remains</b> as strong.",-0.029,a1k-fragment02-61,NEWS,stays continues prevails
142,626,"The front bar, if the noise level becomes too <b>oppressive</b>, has prints of Lester Piggott decorating the wall, and a pool table.",0.25,a1k-fragment02-67,NEWS,overpowering overbearing intense harsh heavy
143,633,"Half Moon Putney 93 Lower Richmond Rd, SW15 (788 2387) Better known for its jazz, but a good, <b>wholesome</b> venue for rock nonetheless.",0.441,a1k-fragment02-74,NEWS,clean pure suitable worthy inclusive decent
144,634,"King's Head, Fulham 4 Fulham High St, SW6 (736 1413) L-shaped room, part corridor, part bar, part dance-floor, with the stage in one corner, <b>ensuring</b> restricted view from virtually everywhere.",0.088,a1k-fragment02-75,NEWS,establishing providing enabling giving
145,657,"The husband-and-wife partnership behind such classics as The Jolly Postman, Burglar Bill and The Baby's Catalogue win children over with ripping yarns and a <b>wicked</b> sense of humour.",0.278,a1l-fragment01-8,NEWS,wonderful playful evil devilish keen
146,660,They win their parents over with a rose-tinted vision of the world which is decidedly <b>reassuring</b>.,0.324,a1l-fragment01-9,NEWS,comforting allaying
